,FIPS,Jan_p,Feb_p,Mar_p,Apr_p,May_p,Jun_p,Jul_p,Aug_p,Sep_p,Oct_p,Nov_p,Dec_p,Jan_t,Feb_t,Mar_t,Apr_t,May_t,Jun_t,Jul_t,Aug_t,Sep_t,Oct_t,Nov_t,Dec_t,Jan_soi,Feb_soi,Mar_soi,Apr_soi,May_soi,Jun_soi,Jul_soi,Aug_soi,Sep_soi,Oct_soi,Nov_soi,Dec_soi,snow
0,8037,3.415111305,1.372719114,0.855805361,2.024667333,2.14150888,0.18945843,1.852643967,0.996189949,1.107825563,2.497405927,,0.840727106,20.26497696,29.66582385,35.77016129,36.86666667,43.45295699,56.20218254,60.75076805,57.49308756,51.5547619,39.5483871,35.03095238,,0.2,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,,59.1859854
1,8049,3.895422701,1.731106331,1.374090972,2.878707575,3.007520751,0.18945843,2.27057955,1.635650481,1.241818549,2.356538311,,1.850216456,15.58650144,26.34626481,32.95048104,34.5041423,41.20567706,52.44166667,57.46868515,53.36971104,48.65121832,36.29767968,32.65852827,,0.2,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,,91.05447875
2,8051,6.934364153,2.68620132,1.160163463,1.654786382,1.676687323,0.18945843,2.95454648,1.802320833,1.480595241,1.322659338,,0.886638282,16.50956839,24.39079063,31.0409577,34.91767677,42.39037575,54.26773504,58.07230001,54.5121854,49.95660867,39.39651343,33.58066101,,0.2,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,,110.33687
3,8053,4.484761905,1.586666667,1.486666667,1.51,1.783333333,0.18945843,4.55452381,1.519047619,2.134047619,0.501428571,,0.397142857,18.11827957,25.53982301,32.41666667,34.93769841,41.2062212,54.13095238,55.85752688,52.79569892,48.32777778,40.46505376,34.58055556,,0.2,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,,80.62857143
4,8057,6.171428571,3.301130952,1.433214286,3.524047619,3.121904762,0.18945843,1.386384921,1.666492063,1.999892857,2.679519841,,1.992202381,15.19210829,25.36662453,32.34861751,33.30823413,40.55097926,52.11577381,57.51708909,53.56739631,47.80704365,34.85147849,32.33412698,,0.2,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,,152.7558333
5,8065,3.902845238,1.514369048,0.741880952,1.975714286,2.194297619,0.18945843,3.188214286,1.815107143,1.494130952,1.740142857,,1.702595238,15.67419355,23.66017699,29.90645161,31.22666667,38.53225806,50.95666667,53.44758065,50.46290323,45.98333333,36.44193548,31.72333333,,0.2,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,,102.5828968
6,8067,5.136996333,1.566088049,1.032650514,1.205355356,1.380131024,0.18945843,3.590585658,1.496921437,1.677736267,0.281302996,,0.144697917,23.78668948,31.37248592,38.12463343,39.91712121,46.3888563,59.77848485,62.26994135,59.11810036,54.41111111,45.41446725,39.00883838,,0.2,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,,51.82979318
7,8069,1.455572064,0.777327101,0.983874909,2.561004539,4.709015456,0.18945843,1.512081477,2.496660032,2.126808981,1.743311231,,0.528023465,22.00381034,31.13724726,38.32732889,38.71006434,45.06025239,57.05512203,62.46295392,57.66777472,51.99367432,40.23528472,37.00040467,,0.2,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,,39.34997355
8,8079,8.351,2.104285714,1.654285714,1.745714286,1.865,0.18945843,3.400333333,2.1255,3.350535714,0.376071429,,0.435833333,17.7516129,24.84306785,31.82473118,33.58055556,39.84086022,52.03492063,55.08986175,51.57603687,46.88333333,39.56605223,33.92380952,,0.2,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,,132.9244048
9,8091,3.919,1.2715,2.882,1.679166667,1.648333333,0.18945843,3.562333333,1.328666667,1.905166667,0.752166667,,0.496333333,23.41397849,31.95280236,37.10215054,39.72777778,45.43010753,58.91111111,61.70430108,58.60215054,53.47222222,43.01612903,38.77777778,,0.2,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,,48.95666667
