,FIPS,Jan_p,Feb_p,Mar_p,Apr_p,May_p,Jun_p,Jul_p,Aug_p,Sep_p,Oct_p,Nov_p,Dec_p,Jan_t,Feb_t,Mar_t,Apr_t,May_t,Jun_t,Jul_t,Aug_t,Sep_t,Oct_t,Nov_t,Dec_t,Jan_soi,Feb_soi,Mar_soi,Apr_soi,May_soi,Jun_soi,Jul_soi,Aug_soi,Sep_soi,Oct_soi,Nov_soi,Dec_soi,snow
0,01049,8.546666666666667,12.708333333333334,7.803333333333334,3.3899999999999997,6.483333333333333,2.57,2.6950000000000003,2.505,3.6399999999999997,4.09,3.9499999999999997,7.079999999999999,43.475806451612904,46.43362831858407,50.25806451612903,54.05833333333333,62.25,70.625,73.81451612903226,74.90322580645162,69.725,57.37903225806452,50.78333333333333,42.32258064516129,-0.1,-1.8,-0.4,0.2,1.2,0.3,0.5,-0.2,-0.7,0.3,-0.5,-0.2,0.0
1,01049,2.89,5.46,6.495,6.180000000000001,6.384999999999999,5.1400000000000015,4.2299999999999995,2.474999999999999,3.13,0.05,4.015000000000001,7.065,38.28225806451613,41.84070796460177,49.58870967741935,58.325,66.79838709677419,70.775,75.1774193548387,73.58870967741936,68.56666666666666,58.403225806451616,44.016666666666666,43.225806451612904,0.6,0.3,-0.7,-0.6,-1.0,-0.1,0.0,-0.4,-1.5,-1.0,-0.7,-1.8,2.8000000000000003
2,01049,3.185,5.805000000000001,3.965,2.615,1.3950000000000002,6.38,5.92,5.835,3.5200000000000005,2.695,8.455,5.435,37.516129032258064,43.469026548672566,47.314516129032256,55.725,61.08870967741935,67.40833333333333,74.44354838709677,70.75,68.31666666666666,55.024193548387096,47.858333333333334,38.57258064516129,-2.9,-0.9,-2.0,-1.0,0.3,-0.6,-0.6,0.4,0.1,-1.4,-0.7,-0.6,0.55
3,01049,6.05,2.6149999999999998,5.18,4.085000000000001,4.135000000000001,1.445,2.765,3.5000000000000004,2.1000000000000005,2.13,3.155,4.555,41.41935483870968,38.0,42.53225806451613,52.35,62.37096774193548,71.1,77.50806451612904,74.5241935483871,68.33333333333333,57.38709677419355,45.65833333333333,38.58064516129032,-0.9,-0.7,-0.5,-1.2,-0.3,-0.8,-0.8,-0.9,-0.7,-1.1,-0.1,0.2,2.1999999999999997
4,01049,6.994999999999999,5.97,8.67,4.46,3.695,4.694999999999999,6.995,1.6199999999999999,6.645,5.46,3.87,4.355,32.95967741935484,42.06194690265487,48.66935483870968,57.916666666666664,60.29032258064516,72.175,72.78225806451613,71.1774193548387,66.26666666666667,57.95967741935484,51.875,44.0,-0.1,0.3,-0.7,-1.3,-0.7,-0.4,-1.3,-1.2,-1.6,-1.1,-0.6,-1.2,14.3
5,01049,5.375000000000001,5.725,4.545,3.68,2.875,4.885,3.1049999999999995,5.74,6.555,8.915,5.550000000000001,3.06,38.46774193548387,37.469026548672566,51.104838709677416,56.975,64.81451612903226,69.15833333333333,75.59677419354838,76.66935483870968,66.88333333333334,57.54838709677419,42.31666666666667,37.33870967741935,-0.4,-0.1,0.8,-0.7,-0.4,0.1,0.4,0.3,0.3,0.0,0.0,-0.5,7.5
6,01049,9.219999999999999,3.085,9.18,4.6,2.9299999999999997,2.795,4.53,6.715000000000001,7.705,1.585,4.459999999999999,5.37,35.395161290322584,36.83185840707964,41.83870967741935,52.358333333333334,66.05645161290323,70.54166666666667,73.75,72.58064516129032,66.35833333333333,56.25,45.108333333333334,40.733870967741936,1.0,0.3,1.1,0.8,0.3,1.2,0.7,0.7,0.6,0.6,-0.1,0.9,7.65
7,01049,5.5600000000000005,3.9650000000000007,6.92,5.294999999999999,7.325000000000001,7.944999999999999,2.6149999999999998,2.5050000000000003,6.0200000000000005,6.109999999999999,2.1250000000000004,4.055,38.98118279569893,43.28613569321534,53.81182795698924,52.305555555555564,59.475806451612904,67.97222222222221,75.39784946236558,71.46505376344086,68.79722222222222,57.51075268817203,43.02222222222223,38.895161290322584,0.5,1.7,-0.4,-0.6,-1.3,-1.4,-0.8,-1.4,-1.4,-1.5,-1.2,-1.0,1.05
8,01049,7.0200000000000005,6.725,5.114999999999999,7.609999999999999,2.595,4.45,4.924999999999999,2.38,0.5433333333333333,0.7266666666666666,5.06,6.843333333333333,42.19086021505376,41.17109144542773,45.56182795698924,54.911111111111126,67.31720430107528,73.57222222222224,76.39247311827957,74.43279569892472,72.68333333333334,61.65860215053765,50.5138888888889,45.284946236559136,-2.7,-2.0,-2.4,-1.4,0.3,1.0,1.2,1.2,1.0,1.1,1.0,1.4,0.0
9,01049,6.833333333333334,4.401666666666666,3.7116666666666664,3.4400000000000004,4.583333333333334,8.695,6.88,0.9466666666666667,0.8166666666666665,2.713333333333333,4.2283333333333335,2.373333333333333,42.3521505376344,43.31563421828908,44.817204301075265,60.277777777777786,63.731182795698935,71.27777777777779,75.53225806451613,75.67473118279571,68.5361111111111,57.70430107526881,52.50000000000001,41.27150537634409,1.8,1.0,1.3,1.4,0.2,0.3,0.5,0.4,-0.1,1.0,1.0,1.4,0.2
10,01049,5.133333333333333,2.21,4.791666666666667,7.351666666666666,1.8266666666666667,5.223333333333334,1.5466666666666666,2.335,1.78,0.2783333333333333,8.525000000000002,2.208333333333333,38.60752688172043,44.607669616519175,51.83870967741935,53.27222222222222,66.50537634408603,71.28055555555555,75.0,74.7741935483871,66.83055555555556,59.11827956989247,47.13333333333334,33.54838709677419,0.7,1.7,1.3,1.2,0.4,-0.2,-0.2,0.7,0.9,1.1,1.8,0.8,2.3
11,01049,5.414999999999999,4.308333333333334,7.666666666666665,2.501666666666667,4.821666666666667,5.0600000000000005,4.903333333333333,3.515,4.081666666666667,2.3466666666666667,3.331666666666667,4.516666666666667,34.72043010752688,44.46607669616519,44.770161290322584,58.59583333333333,64.47849462365592,70.28333333333333,74.25537634408602,73.81048387096774,67.08888888888889,55.75940860215054,53.90972222222222,45.54704301075269,1.0,1.7,0.9,0.2,-0.5,0.3,-0.2,-0.4,0.2,0.0,0.7,-0.8,0.9666666666666668
12,01049,6.371666666666667,2.9216666666666664,4.428333333333333,1.965,7.59,2.9050000000000002,3.431666666666667,3.236666666666667,8.488333333333333,3.565000000000001,4.45,6.166666666666667,40.05510752688172,40.58997050147492,48.403225806451616,59.620833333333344,62.880376344086024,71.49444444444445,75.88037634408602,75.56317204301075,72.23194444444444,62.017473118279575,45.37222222222223,38.71774193548387,0.4,1.1,-0.2,-0.1,-0.8,-0.2,-0.5,-1.0,-0.6,-0.4,-0.5,-1.1,0.4666666666666666
